$3.5 million.	$3.5 milyon.
10 rings.	Sampung singsing.
100 pesos.	Isang daang piso.
100000 graduates.	Isang daang libong gradweyt.
1000000 graduates.	Isang milyonng gradweyt.
10th day of August.	Ika-sampung araw ng Agosto.
10th day of July.	Ika-sampung araw ng Hulyo.
10th day of June.	Ika-sampung araw ng Hunyo.
10th day of May.	Ika-sampung araw ng Mayo.
10th in line.	Pang-sampu sa pila.
11th day of August.	Ika-labing isang araw ng Agosto.
11th day of July.	Ika-labing isang araw ng Hulyo.
11th day of June.	Ika-labing isang araw ng Hunyo.
11th day of May.	Ika-labing isang araw ng Mayo.
11th in line.	Panlabing-isa sa pila.
12 feet.	12 talampakan.
12th day of August.	Ika-12 na araw ng Agosto.
12th day of July.	Ika-12 na araw ng Hulyo.
12th day of June.	Ikaw-12 na araw ng Hunyo.
12th day of May.	Ikaw-12 na araw ng Mayo.
12th in line.	Panlabindalawa sa pila.
13 and in Luke 21.	13 at sa Lucas 21.
13th day of August.	Ika-13 na araw ng Agosto.
13th day of July.	Ika-13 na araw ng Hulyo.
13th day of June.	Ika-13 na araw ng Hunyo.
13th day of May.	Ika-13 na araw ng Mayo.
13th in line.	Panlabintatlo sa pila.
14th day of August.	Ika-14 na araw ng Agosto.
14th day of July.	Ika-14 na araw ng Hulyo.
14th day of June.	Ikaw-14 na araw ng Hunyo.
14th day of May.	Ika-14 na araw ng Mayo.
14th in line.	Panlabing-apat sa pila.
15th day of August.	Ika-15 na araw ng Agosto.
15th day of June.	Ika-15 na araw ng Hulyo.
15th day of May.	Ika-15 na araw ng Mayo.
15th in line.	Panlabing-lima sa pila.
16th day of August.	Ika-16 na araw ng Agosto.
16th day of July.	Ika-16 na araw ng Hulyo.
16th day of June.	Ika-16 na araw ng Hunyo.
16th day of May.	Ika-16 na araw ng Mayo.
16th in line.	Panlabing-anim sa pila.
17th day of August.	Ika-17 na araw ng Agosto.
17th day of July.	Ika-17 na araw ng Hulyo.
17th day of June.	Ika-17 na araw ng Hunyo.
17th day of May.	Ika-17 na araw ng Mayo.
17th in line.	Panlabing-pito sa pila.
18th day of August.	Ika-18 na araw ng Agosto.
18th day of July.	Ika-18 na araw ng Hulyo.
18th day of June.	Ika-18 na araw ng Hunyo.
18th day of May.	Ika-18 na araw ng Mayo.
18th in line.	Panlabing-walo sa pila.
19th day of August.	Ika-19 na araw ng Agosto.
19th day of July.	Ika-19 na araw ng Hulyo.
19th day of June.	Ika-19 na araw ng Hunyo.
19th day of May.	Ika-19 na araw ng Mayo.
19th in line.	Panlabing-siyam sa pila.
1st day of August.	Ika-1 na araw ng Agosto.
1st day of July.	Ika-1 na araw ng Hulyo.
1st day of June.	Ika-1 na araw ng Hunyo.
1st day of May.	Ika-1 na araw ng Mayo.
1st in line.	Una sa pila.
2 rings.	Dalawang singsing.
200 floors.	Dalawang daang palapag.
20000 graduates.	Dalawampung libong gradweyt.
