Good morning, he said.	Magandang umaga, sinabi niya.
And then shall appear the Son of man in heaven.	At pagkatapos ay lilitaw ang Anak ng tao sa langit.
Two women shall be grinding.	Dalawang babae ay maggigiling.
100 bundles of cartolina.	Sandaang bigkis ng cartolina.
100 bundles of cartolina.	Isang daang bigkis ng cartolina.
1000 liters of water.	Isang libong litro ng tubig.
10000 liters of water.	Sampung libong litro ng tubig.
11 bundles of cartolina.	Labing-isang bigkis ng cartolina.
12 bundles of cartolina.	Labindalawang bigkis ng cartolina.
12 for the girl and 8 for the beer.	12 sa babae at 8 sa beer.
13 bundles of cartolina.	Labintatlong bigkis ng cartolina.
14 bundles of cartolina.	Labing-apat na bigkis ng cartolina.
15 bundles of cartolina.	Labinlimang bigkis ng cartolina.
16 bundles of cartolina.	Labing-anim na bigkis ng cartolina.
17 bundles of cartolina.	Labimpitong bigkis ng cartolina.
18 bundles of cartolina.	Labingwalong bigkis ng cartolina.
19 bundles of cartolina.	Labinsiyam na bigkis ng cartolina.
1st Tuesday is on August 1.	1st Martes ay sa Agosto 1.
20 bundles of cartolina.	Dalawampung bigkis ng cartolina.
2000 liters of water.	Dalawang libong litro ng tubig.
200000 graduates.	Dalawang daang libong gradweyt.
30 bundles of cartolina.	Tatlumpung bigkis ng cartolina.
300 grains of rice.	Tatlong daang butil ng bigas.
3000 liters of water.	Tatlong libong litro ng tubig.
300000 graduates.	Tatlong daang libong gradweyt.
3D printers are expensive.	Mahal ang mga 3D printer.
3D printers are expensive.	Ang mga 3D printer ay mahal.
40 bundles of cartolina.	Apatnapung bigkis ng cartolina.
400 grains of rice.	Apat na raang butil ng bigas.
4000 liters of water.	Apat na libong litro ng tubig.
400000 graduates.	Apat na raang libong gradweyt.
42 exams per semester.	42 exams bawat semestre.
5 years we've searched.	5 taon kaming naghanap.
50 bundles of cartolina.	Limampung bigkis ng cartolina.
500 grains of rice.	Limang daang butil ng bigas.
5000 liters of water.	Limang libong litro ng tubig.
500000 graduates.	Limang daang libong gradweyt.
60 bundles of cartolina.	Animnapung bigkis ng cartolina.
600 liters of water.	Anim na raang litro ng tubig.
6000 liters of water.	Anim na libong litro ng tubig.
600000 graduates.	Anim na raang libong gradweyt.
